Código producto	Descripción del producto	Descripción completa del producto	Tipo de producto	Tipo de canasta	Fecha inicio abastecimiento	Tipo de Bases
100002234	HIDROXIZINA 20 MG CM	HIDROXIZINA CM 20 MG ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLOQUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.2
100002236	IDARUBICINA 10MG POLV/LIOF SOL INYEC FAM	IDARUBICINA 10 MG POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE  ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002238	IFOSFAMIDA 2G POLV/ LIOF SOL INYEC FAM	IFOSFAMIDA 2G POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE FRASCOAMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002241	IRINOTECAN 100 MG/5 ML SOL. INY. FAM	IRINOTECAN 100 MG/ 5 ML SOLUCION INYECTABLE INTRAVENOSA FRASCO AMPOLLA.ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002242	LAMOTRIGINA 100 MG CM/CM REC	LAMOTRIGINA 100 MG COMPRIMIDO. ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002243	LEVOTIROXINA 50 MCG CM RANURADO	LEVOTIROXINA 50 MCG COMPRIMIDO RANURADO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002244	LIDOCAINA 5G/100G PARCHE	LIDOCAINA 5G/100G PARCHE ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR PARCHE.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002246	METILPREDNISOLONA 4 MG CM	METILPREDNISOLONA 4 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002247	METILPREDNISOLONA 16 MG CM	METILPREDNISOLONA 16 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002248	ACETILCISTEINA-N 600MG POLVO GRAN SACHET	ACETILCISTEINA-N 600 MG POLVO GRANULADO PARA SOLUCION ORAL ENVASADO EN SACHET. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR SACHET.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002253	OCTREOTIDA 0,1 MG/ML SOL. INYECT. AM/FAM	OCTREOTIDA ACETATO 0,1 MG/ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002254	OCTREOTIDA 20MG MICROESF SUSP INYEC FAM	OCTREOTIDA ACETATO MICROESFERAS 20 MG PARA SUSPENSION INYECTABLE FRASCOAMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002255	ONDANSETRON 4 MG CM LIOF DISP BUCAL	ONDANSETRON 4 MG COMPRIMIDO LIOFILIZADO DISPERSION BUCAL ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002256	OXALIPLATINO 5 MG/ML SOL INY FAM 20 ML	OXALIPLATINO 5 MG/ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA 20 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002257	OXIBUTININA 5 MG CM/CM RECUBIERTO	OXIBUTININA 5 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002258	PEG-FILGRASTIM 6 MG/6 ML SOL. INYECT JRP	PEG-FILGRASTIM 6 MG/6ML SOLUCION INYECTABLE PARA ADMINISTRACION SUBCUTANEAJERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR JERINGA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100002260	PIRIMETAMINA 25 MG CM	PIRIMETAMINA 25 MG COMPRIMIDO VIA ORAL ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002261	PREGABALINA 150 MG CM/CP	PREGABALINA 150 MG COMPRIMIDO O CAPSULA VÍA ORAL ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002263	SACCHAROMYCES BOULARDII 250 MG CP	SACCHAROMYCES BOULARDII 250 MG CAPSULA. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLAVILIDAD DEL CONTENIDO.COTIZAR POR CAPSULA	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.2
100002264	SERTRALINA 100 MG CM/CM REC/CP	SERTRALINA 100 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA VÍA ORALENVASADOEN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002265	SIROLIMUS 2 MG GG/CM/CM REC	SIROLIMUS 2 MG GRAGEAS O COMPRIMIDO O COMPRIMIDO RECUBIERTO VÍA ORAL ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta general	2021-01-01	Importación
100002267	TACROLIMUS 0,5 MG CP	TACROLIMUS 0,5 MG CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002268	TACROLIMUS 5 MG CP BLISTER	TACROLIMUS 5 MG CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002269	TOPOTECAN  4MG POLV O LIOF. SOL. INY FAM	TOPOTECAN 4 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002270	TRIAMCINOLONA 40MG/ML SUSP INYECT FAM	"TRIAMCINOLONA 40MG/ML SUSPENSION INYECTABLE FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA."	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002274	CODEINA 6% SOL.ORAL/JBE FRA 60 ML	CODEINA FOSFATO 6% SOLUCION ORAL O JARABE FRASCO 60 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002279	ACICLOVIR 3% UNGÜ OFTAL TU/PM 3 A 5G	ACICLOVIR 3% UNGÜENTO OFTALMICO TUBO O POMO DE 3 A 5 G. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR TUBO	Fármacos	Canasta Esencial de Medicamentos	2021-02-01	341-2.1
100002280	AC URSODEO 250MG/5ML S/ORAL FRA200-250ML	ACIDO URSODESOXICOLICO 250MG/5 ML SUSPENSION ORAL FRASCO 200 A 250 ML.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002284	PARGEV/METAMIZ 6/300MG FRA GOT 10 A 15ML	PARGEVERINA CLORHIDRATO (PROPINOXATO)/METAMIZOL MAGNESICO 6/300 MG / 1ML SOLUCION ORAL PARA GOTAS FRASCO GOTARIO 10 A 15 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002285	CICLOPENTOL 1% SOL.OFT.FRA 10-15ML	CICLOPENTOLATO 1 % SOLUCION PARA GOTAS OFTALMICAS FRASCO 10 A 15 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002288	DORZOLA/TIMOL 2/0,5G SOL.OFT.FRA 5 A 6ML	DORZOLAMIDA/TIMOLOL 2G/0,5G/100 ML SOLUCION OFTALMICA FRASCO 5 A 6 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002291	FOSFOSODA SOLUCION ORAL FRA 45 A 50 ML	FOSFATO SÓDICO MONOBÁSICO/FOSFATO SÓDICO DIBÁSICO SOLUCIÓN ORAL FRASCO 45 A 50 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002293	HIDROXIETILALMIDON 6% BOL/FRA 500ML	HIDROXIETILALMIDON 6% SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA BOLSA O FRASCO 500 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR BOLSA O FRASCO.	Sueros	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002296	MOXIFLOXACINO 0,5% SOL OFTAL FRA 3 A 5ML	MOXIFLOXACINO 0,5% SOLUCION OFTALMICA FRASCO DE 3 A 5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002297	RISPERIDONA 1 MG/ML SOL.ORAL FRA 20A30ML	RISPERIDONA 1 MG/ML SOLUCION ORAL PARA GOTAS FRASCO 20 A 30 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002309	INMUNOGLOBULINA G HUMANA FAM X GRAMO	INMUNOGLOBULINA G HUMANA (O INMUNOGLOBULINA HUMANA NORMAL) SOLUCION INYECTABLE O POLVO LIOFILIZADO. FRASCO AMPOLLA DE 5 A 10 GRAMOS. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR GRAMO (G).	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100002311	PASTA / UNG / POM OXIDO ZN TU 50 A 100G	PASTA, UNGÜENTO O POMADA DE OXIDO ZINC (PUEDE CONTENER VITAMINAS Y ACEITES).ADMINISTRACION TOPICA POTE O TUBO 50 A 100 G. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR POTE O TUBO.	Fármacos	Canasta general	2020-01-01	341-2.1
100002313	EDULCORANTE NO NUTRITIVO CM	EDULCORANTE NO NUTRITIVO: SACARINA SODICA 20 A 24 MG O ASPARTAME 20 MG COMPRIMIDO EN ENVASE DISPENSADOR HASTA 500 CM. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta general	2020-01-01	341-2.1
100002314	SALBUTAMOL 5MG/ML SOL.NEBU FRA 20ML	SALBUTAMOL 5 MG/ML SOLUCION PARA NEBULIZAR FRASCO 20 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002318	TIMOLOL 0,5% SOL. OFTALMICA FRA 10 ML	TIMOLOL 0,5% SOLUCION PARA GOTAS OFTALMICAS FRASCO 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002320	ACICLOVIR 200MG/5ML SUS.OR FRA 50 A125ML	ACICLOVIR 200 MG/5 ML SUSPENSION ORAL FRASCO 50 A 125 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.2
100002322	AMOXICILINA 250MG/5ML P/SUS FRA60A 120ML	AMOXICILINA 250 MG/5 ML POLVO PARA SUSPENSION ORAL FRASCO 60 A 120 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002324	CLORAMFENICOL 0,5% SOL.OFT.FRA 5 A 10 ML	CLORANFENICOL 0,5% SOLUCION PARA GOTAS OFTALMICAS FRASCO 5 A 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002333	SODIO CLORURO 0.9% BOLSA 50 ML	SODIO CLORURO 0.9% AMPOLLA 50 ML SOLUCION INYECTABLE PARA ADMINISTRACION IV ENVASE TIPO VIAFLEX (COLAPSABLE) RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Sueros	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002335	SODIO CLORURO  0,9%  BOLSA 1 L	SODIO CLORURO 0,9% SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA BOLSA CON SITIO DE PUNCION 1 L. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR BOLSA.	Sueros	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002337	GOSERELINA 10,8 MG JRP C/IMPL. SUBCUT.	GOSERELINA 10,8 MG IMPLANTE SUBCUTANEO DE LIBERACION PROLONGADA JERINGAESTERIL PRECARGADA CON IMPLANTE. ENVASE RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR JERINGA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002341	LEUPRORELINA 11,25MG POLV P/SUSP INYECT	LEUPRORELINA ACETATO 11,25 MG POLVO PARA SUSPENSION INYECTABLE ENVASE USO TRIMESTRAL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002342	TRIPTORELINA 11,25MG LIOF P/SUSP INY FAM	TRIPTORELINA 11,25 MG POLVO LIOFILIZADO PARA SUSPENSION INYECTABLE PARAADMINISTRACION INTRAMUSCULAR FRASCO AMPOLLA ENVASE USO TRIMESTRAL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002343	ACIDO VALPROICO 10 MG/GOTA FRA 20 A 40ML	ACIDO VALPROICO 10 MG/GOTA O 375 MG /ML SOLUCION PARA GOTAS ORALES FRASCO 25 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002344	MEDROXIPROGESTERONA 104MG/0,65ML JRP/DIS	MEDROXIPROGESTERONA ACETATO JERINGA O DISPOSITIVO PRELLENADO 104 MG/0,65ML SUSPENSION INYECTABLE SUBCUTANEA. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR JERINGA O DISPOSITIVO PRELLENADO.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002345	CLOTRIMAZOL 100 MG OVULO/CM O CP VAGINAL	CLOTRIMAZOL 100 MG OVULO, COMPRIMIDO VAGINAL O CAPSULA VAGINAL  ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR OVULO O COMPRIMIDO VAGINAL O CAPSULA VAGINAL.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002347	CARBOPLATINO 10 MG/ML SOL.INY FAM 45 ML	CARBOPLATINO 10 MG/ML SOLUCION INYECTABLE INTRAVENOSA, FRASCO AMPOLLA 45 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002349	CITARABINA FAM 1 G SOL. INYECTABLE	CITARABINA 1G SOLUCION INYECTABLE ADMINISTRACIONINTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta general	2021-02-01	341-2.1
100002361	GLUCOSA 30% 500ML ENV SEMIRRIG MATRAZ	GLUCOSA 30% SOLUCION INYECTABLE PARA ADMINISTRACIÓN INFUSIÓN INTRAVENOSAENVASE SEMIRÍGIDO 500 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR MATRAZ.	Sueros	Canasta Esencial de Medicamentos	2021-02-01	341-2.1
100002430	CITARABINA 100MG/5 ML SOL. INYECT. FAM	CITARABINA 100 MG/5 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta general	2021-01-01	341-2.1
100002431	LANREOTIDE 90 MG AUTOGEL SOL. INYECT JRP	LANREOTIDE 90 MG AUTOGEL SOLUCION INYECTABLE DE LIBERACION PROLONGADA JERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR JERINGA PRELLENADA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002472	SOMATROPINA HUM. RECOMB 24-30-36UI x UI	SOMATROPINA HUMANA RECOMBINANTE ENVASE DE 24, 30 O 36 UI EN FRASCO AMPOLLA, CARTRIDGE, CARTUCHO O DISPOSITIVO. ENVASE RESISTENTE CON SELLOQUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR EN UNIDADES INTERNACIONALES(UI).	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100002479	LAMIVUDINA 10MG/ML SOLUCION ORAL X ML	LAMIVUDINA 10 MG/ML O 50 MG/5ML SOLUCION ORAL FRASCO 100 A 240 ML.  ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR MILILITRO (ML).	Fármacos	Canasta general	2020-01-01	341-2.1
100002490	LOPINAVIR/RITONAV 80/20 MG/ML X ML	LOPINAVIR/RITONAVIR 80/20 MG SOLUCION ORAL FRASCO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR MILILITRO (ML).	Fármacos	Canasta general	2020-01-01	341-2.1
100002521	ARIPIPRAZOL 15 MG CM	ARIPIPRAZOL 15 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002522	CARBACOL 0,01% SOL.INTRAOCULAR FRA 1,5ML	CARBACOL 0,01% SOLUCION INTRAOCULAR ESTÉRIL FRASCO AMPOLLA 1,5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002528	ESTRADIOL MICRONIZADO 1 MG CM REC/GG	ESTRADIOL MICRONIZADO 1 MG COMPRIMIDO RECUBIERTO O GRAGEA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O GRAGEA.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002535	POLIESTIRENO SULF CALCIO FRA 400 A 500G	POLIESTIRENO SULFONATO CÁLCICO POLVO PARA SUSPENSIÓN ENTERAL FRASCO 400A 500G ADMINISTRACIÓN ORAL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta general	2020-01-01	341-2.1
100002537	RANIBIZUMAB 0,5 MG/0,05 ML SOL INY FA	RANIBIZUMAB 0,5 MG/0,05 ML SOLUCION INYECTABLE  VÍA INTRAVÍTREA JERINGAPRELLENADA.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR JERINGA PRELLENADA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100002539	VORICONAZOL 200 MG CM REC.	VORICONAZOL 200 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002550	TOBRAMICINA 28 MG CAPSULA P/INHALACION	TOBRAMICINA 28 MG CAPSULA CON POLVO PARA INHALACION CON INHALADOR. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002551	MORFINA 20 MG/ML SOL ORAL HASTA 60ML XML	MORFINA 20 MG/ML  SOLUCION ORAL FRASCO HASTA 60 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ML	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100002557	ATRACURIO BESIL 50 MG/5 ML SOL.INYAM/FAM	ATRACURIO BESILATO 50 MG/5 ML SOLUCION INYECTABLE AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Refrigerados	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100002560	GEMCITABINA 200 MG SOL. INY. FAM	GEMCITABINA 200 MG SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002561	SODIO CLORURO 10 % SOL INY IV AM 10 ML	SODIO CLORURO 10 % SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA ENVASE VIDRIO O PLASTICO CON SISTEMA ABRE FACIL AMPOLLA 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DE CONTENIDO. COTIZAR POR AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100002565	TRAMADOL/PARACET 37,5/325MG CM/CM REC/CP	TRAMADOL/PARACETAMOL 37,5 MG/325 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA BLANDA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
